Unnamed: 0,产品品牌表,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
返回目录,注意：,,,,,
,1、产品不走带有《名牌表》中的牌子产品，此外还要参考海关知识产权网(http://202.127.48.145:8888/zscq/search/jsp/vBrandSearchIndex.jsp)是否有备案，表中没有的，备案网有的都不能走；表上有的，备案网站没有的，也不能走！否则我司查出，严格按照《关于仿牌及违禁物品的处理》执行，其他情况将视情况程度处理！,,,,,
,2、名牌货物需要提前提供真实授权书，经服务商及海关核实认为“真实”，货物方可按照正常走货程序出货；凡是授权书无法通过的货物，我司拒收！,,,,,
,1,Alexander Wang,43.0,Fendi芬迪,85.0,Olympus 奥林巴斯
,2,A/X Armani Exchange,44.0,FILA 斐乐,86.0,Omega(欧米茄)
,3,ABERCROMBIE&FITCH(A&F),45.0,Franck Muller,87.0,P90X(健身带)
,4,Acer,46.0,GHD 直发器,88.0,Panasonic
,5,Adidas,47.0,Gillette    吉列公司,89.0,Pandora  潘多拉
,6,Apple,48.0,GIORGIO ARMANI,90.0,Philips   飞利浦
,7,Armani,49.0,Gianmarco Lorenzi,91.0,Piaget(伯爵)
,8,Audemars Piguet ,50.0,Givenchy,92.0,Pierre Cardin(皮尔卡丹)
,9,AVON FARAWAY(雅芳),51.0,Gucci(古驰),93.0,Playboy
,10,Balenciaga ,52.0,Guess 美国服装品牌,94.0,Polo Jeana Co
,11,Bally,53.0,Hello Kitty ,95.0,Pierre Cardin皮尔卡丹
,12,Benz(奔驰),54.0,Hermes,96.0,Polo Sport 
,13,Blackberry(黑莓),55.0,HITACHI   日立,97.0,Polo/Ralph Lauren
,14,BMW(Bayerische Motoren Werke AG),56.0,HONAG,98.0,Patek Philippe百达翡丽
,15,Boss(老板牌),57.0,HONDA,99.0,Power Balance(PB)
,16,Breitling,58.0,HP  惠普,100.0,Prada 
,17,Burberry(博柏利),59.0,IBM,101.0,PUMA 彪马
,18,Bvlgari,60.0,ICE WATCH  比利时,102.0,R4(任天堂 )读卡器
,19,celine,61.0,Intel 英特尔,103.0,REEBOK 锐步
,20,Calvin Klein(CK),62.0,JEEP,104.0,Rolex(劳力士)
,21,Canon 佳能,63.0,JIMMY CHOO,105.0,SAMSUNG  韩国三星
,22,clae,64.0,Juicy Couture,106.0,Sandisk  闪迪
,23,Cartier(卡地亚),65.0,karen millen 卡伦米伦,107.0,Stella McCart斯特拉/史蒂娜
,24,Casio(卡西欧),66.0,Kingston     金士顿,108.0,SANYO 三洋
,25,Chanel(香奈儿),67.0,Kodak柯达,109.0,Seiko(精工)
,26,CHELSEA (联赛品牌),68.0,LACOSTE      (鳄鱼牌),110.0,Sharp 夏普
,27,CHI 直发器,69.0,Lancome Parfums,111.0,Siemens 西门子
,28,Christian Louboutin,70.0,LEO(里奥),112.0,SONY索尼
,29,Citizen 西铁城,71.0,Longchamp,113.0,Swarovski施华洛世奇
,30,COACH,72.0,Longines(浪琴),114.0,TIFFANY & CO.蒂芙妮
,31,Converse匡威,73.0,Louis Vuitton(LV),115.0,TISSOT
,32,D&G,74.0,M.A.C,116.0,Toshiba
,33,Dell,75.0,Marlboro  万宝路,117.0,TaylorMade 
,34,DIESEL,76.0,MICHAEL KORS(MK),118.0,Toyota
,35,Dior,77.0,Mitsubishi 三菱,119.0,True Religion真实信仰
,36,Disney  (迪斯尼),78.0,mont blanc 万宝龙,120.0,TOWS
,37,dsquared2,79.0,MBT,121.0,FURLA
,38,Dunhill ,80.0,mcm,122.0,Tory Burch托里·伯奇
,39,durex,81.0,MONCLER(蒙口),,UGG 德克斯 (鞋类)
,40,Emporio Armani,82.0,MONSTER 耳机,,Vacheron Constantin
,41,Epson 爱普生,83.0,Motorola  摩托罗拉,,Versace
,42,Ericsson 索尼爱立信,84.0,Mulberry 英国的,,VOLVO
,,Estee Lauder,,NBA(National Basketball Association),,Yamaha 雅马哈
,,FC Barcelona(联赛品牌),,New Era,,Zara  西班牙服装品牌
,,Feger,,NIKE  耐克,,OKEY
,,LIFEPROOF ,,Nikon 尼康,,Onitsuka Tiger
,,乔丹,,Nissan  尼桑也叫日产,,
,,,,Nokia  诺基亚,,
,,,,Valentino,,
,,,,,,
,1,3M(美国3M公司),51.0,D-Link   友讯科技,101.0,JOAN%DAVID
,2,ACE,52.0,Dr.Martens,102.0,Jockey
,3,AGATHA,53.0,Dunlop,103.0,Joyce
,4,AIR MAX　,54.0,EASY SPIRIT,104.0,JVC  日本胜利
,5,Akai,55.0,Ecco(爱步),105.0,Kai
,6,Alfa,56.0,Electronic Arts,106.0,KAPPA 卡帕
,7,Alpine,57.0,Elle ,107.0,Kenwood
,8,Anna sui,58.0,EMI(百代唱片),108.0,Konica
,9,Aramis,59.0,ENERGIE,109.0,L’Oreal
,10,ARC(弓箭国际),60.0,Energizer ,110.0,La Mer
,11,Aveda,61.0,ENZO ANGIOLINI,111.0,LA PRAIRIE
,12,Azzaro,62.0,ERMENEGILDO ZEGNA,112.0,Lab Series
,13,BABYLISS,63.0,ESCADA,113.0,LEE
,14,Banana Republic,64.0,Esko ,114.0,Lego
,15,Bata  捷克,65.0,Etro,115.0,lesportsac
,16,Bic(比克),66.0,Eveready,116.0,Levi Strauss
,17,Birkenstock,67.0,Evisu,117.0,LG(Lucky Goldstar)
,18,Bliss,68.0,Fisher,118.0,Lladro
,19,BOBBI BROWN,69.0,FJ   艾卡什奈公司,119.0,Logitech
,20,Bosch,70.0,Fox Racing,120.0,luminor 
,21,Bose,71.0,FRED PERRY,121.0,Manolo Blahnik 英国鞋品牌
,22,Boss Orange,72.0,Fresh,122.0,Max Mara
,23,Bottega Veneta ,73.0,Fuji,123.0,Maxwell
,24,British American Tobacco,74.0,Fujitsu,124.0,MBT (鞋子)
,25,Bulgari,75.0,Garnier,125.0,Mega
,26,Callaway Golf,76.0,Gianni versace ,126.0,Ming
,27,Canali,77.0,GOGO,127.0,MISS SIXTY
,28,CAROLINA HERRERA,78.0,Grand Carrera,128.0,MIUMIU
,29,Cartoon Network,79.0,HABA,129.0,Montblanc
,30,CAT 卡特,80.0,Harley Davidson  美国,130.0,MOTORCRAFT
,31,CATALOG (著作权),81.0,Hasbro,131.0,NCR(National Cash Register Company)
,32,Caterpillar,82.0,Heeling,132.0,"NEC(Nippon Electric Company, Limited)"
,33,Celine,83.0,HERVE LEGER,133.0,Nestle 雀巢
,34,Cerruti 1881,84.0,Hewlett packard,134.0,Nikko
,35,Champion,85.0,HI-TEC,135.0,NINA RICCI
,36,Chervo,86.0,HKS,136.0,Nine West
,37,Chevignon,87.0,Holden,137.0,NIVEA
,38,Chloe,88.0,Hollister ,138.0,Nova
,39,Cisco systems 思科,89.0,HOM,139.0,Oakley
,40,Clinique,90.0,Honeywell,140.0,OCE
,41,COGU,91.0,hublot,141.0,OPEN
,42,Colgate-Palmolive高露洁,92.0,Hugo Boss,142.0,Oregon
,43,Columbia,93.0,INTER  ,143.0,Origins 
,44,crocodile,94.0,Jack Daniel’s,144.0,ORIGINS   奥丽纯
,45,Custo ,95.0,Jaeger-LeCoultre,145.0,Oxette
,46,Custo Barcelona,96.0,JBL   美国,146.0,Paco rabanne
,47,DAINESE,97.0,Jean paul ,147.0,Paul Smith
,48,Davidoff,98.0,JEAN PAUL GAULTIER,148.0,Pfizer
,49,DC Shoes,99.0,Jinro,149.0,Pfizer  美国辉瑞
,50,Digicom,100.0,Jo Malone,150.0,Phiten 日本法力藤
,151,Pierre Senizergues/Etnies,152.0,Pioneer,154.0,Ports
,155,Prints,156.0,Procom,157.0,RAY.BAN
,158,ROXY,159.0,Salvatore Ferragamo,160.0,Samsonite
,161,SECCO,162.0,SEGA,163.0,SHTEX
,164,SIXTY,165.0,SKF 瑞士轴承品牌,166.0,SLY(日本时装品牌)
,167,Smashbox,168.0,supra,169.0,SuzukI   日本铃木
,170,Swatch,171.0,Swiss Nature,172.0,Teva
,173,Timberland,174.0,TOD's,175.0,Tommy Hilfiger
,176,TOUS,177.0,U-boat,178.0,ULTRA
,179,UMBRO  体育品牌,180.0,Unilever,181.0,Union
,182,Van Cleef,183.0,Vans,184.0,VERSUS
,185,Viacom,186.0,Vivienne Westwood,187.0,Warner  时代华纳
,188,Wizards of the Coast,189.0,X-LARGE   美国时尚品牌,190.0,Yves Saint Laurent
,191,YVES SAINT LAURENT(YSL),192.0,Zippo,193.0,Zolo 
