                                                             墨西哥违禁品清单,Unnamed: 1,Unnamed: 2
返回目录,物品类别,物品描述举例
云途全球专线挂号(特惠带电),财务票据,各国现金、支票等财务票据
云途全球专线挂号(特惠普货),武器弹药、仿真武器,"所有枪支、仿真枪支
所有弹药
所有武器配件，枪零件、瞄准镜、枪管、等
匕首、收藏刀、竞技类刀剑、各类国家管制刀具、超过50厘米长的厨房刀具、运动竞技类刀剑等"
云途全球精选专线挂号（特惠带电）,管制器具,匕首、收藏刀、竞技类刀剑、各类国家管制刀具、超过50厘米长的厨房刀具、运动竞技类刀剑等
云途全球精选专线挂号（特惠普货）,易燃易爆物品,火药、纯电池、汽油、煤油、酒精、油漆、瓦斯气瓶、磷、硫磺、火柴、打火机等
,毒品、药品,所有毒品、药品，包括各种中药
,危险生物、化学品,"各类腐蚀性物品：硫酸、盐酸、硝酸、有机溶剂、农药、双氧水等；
各类放射性元素及容器：铀、钴、镭、钚等盛或放过该类物质的容器或被该类物质污染的物品等；
各类生化制品和传染性物品：菌种、毒种等动植物病原体，害虫及其他有害生物炭疽、危险性病菌、医药用废弃物等；
人类遗体、人类遗骸；
器官、血液、血清、细胞、器官组织、血液及其制品等生物材料"
,动物及其制品,"活动物、动物标本；
如犀牛角、牛黄、虎骨等油脂类、皮张、毛类、蹄、骨、角类动物制品；"
,植物及其制品,"木质煤、柴火、原木头、未经处理的木材、植物标本；
稀有物种的植物、花、干花、种子、苗、蔬菜、叶子等；
有机栽培介质、土壤等"
,烟草,所有烟草、香烟
,酒水,所有酒水、含有酒精的饮料
,博彩、色情物品,"所有博彩用品；
所有含有色情内容的物品"
,贵重物品,珠宝首饰、贵重金属及其制品；
,古董文物,"古董文物及其仿制品；
带有考古价值的物品"
,豆类、谷物,如玉米、大米、小麦、玉米粉、大米粉、小麦粉、大豆等
,粉末状、液态、压缩喷剂类物品,所有粉末状、液态、压缩喷雾类物品，包括颗粒状物品
,盗版、假冒、仿品,所有仿牌鞋服装、山寨电子产品等
,食品类,所有食品类
,其他,其他墨西哥海关规定的禁运品
,医疗器械、医疗用品,"吸鼻器、听诊器、注射器、血氧仪、血压计、血压仪、血糖仪、体温计、温度计、心电仪、针灸仪，轮椅、负压器、耳镜、多普勒设备、电疗设备、牙科红外摄像仪内窥镜、助听器、理疗用品等医疗设备；
止血带，创口贴等外用医疗用品；
口罩、丁腈手套、额温枪、消毒凝胶等防疫物资；
Covid-19快筛、HIV快筛、验孕棒等各种检测试剂试纸"
,成人用品、性玩具,"避孕套；
插入、嵌入身体的成人用品、性玩具"
,三岁以下儿童用品、玩具,"奶嘴、婴儿水壶等婴儿用品；
三岁以下儿童的玩具；"
,特定种类的玩具,"人形的、有人体形象的玩具、玩偶（如手办等）；
带有著名动画、影视人物图片、图标的玩具（如带有迪士尼、漫威人物的玩具）"
,木制品、天然材料制品,木制的、竹制的等天然材料制的画框、家具等物品；
,个人护理、美容、按摩功能用品,"洗脸仪、吸黑头仪、电动牙刷、UV光面罩等美容仪；
电动、非电动按摩仪器/脱毛器；
减肥腰带、减肥仪；
塑形、束腰类穿戴；
脚趾矫正、牙齿保持器、牙齿矫正等正畸用品"
,动物皮制的服装鞋包,牛皮、马皮等动物皮制的鞋子、手包、皮带等鞋服物品
,空气、水等净化仪器和有消毒功能的物品,"空气净化器、水净化器，包括空气加湿器；
带有消毒功能的仪器"
,高货值电子产品、家电,智能手机、高清影像播放器、打印机、平板电脑、笔记本电脑、智能手表等智能穿戴设备、无人机、数码相机、摄像机、单反等
,涉及名牌、奢侈品、注册品牌物品,"Gucci、Prada、Channel等奢侈品；
带有著名品牌、奢侈品标志的物品及；
采用著名品牌、奢侈品牌设计的物品；
涉及、带有知名动漫、电影人物形象的物品；"
,涉及特殊用途仪器、设备、物品,"显微镜、望远镜等涉及科研目的的设备、仪器；
警棍、胡椒喷雾、防爆服、防弹背心、电机枪等涉及军用、警用物品、设备；
针眼摄像头、窃听器等涉及间谍目的设备、仪器；
其他涉及特殊用途仪器、设备、物品"
,涉及反倾销物品,"自行车及自行车配件；
铅笔；
其他涉及反倾销的物品"
,其他物品,"针及针状物；中性笔、圆珠笔；
其他墨西哥海关认定的限运品"
