Unnamed: 0,易碎品包装要求,Unnamed: 2,Unnamed: 3
返回目录,,,
,说明：,对于陶瓷、玻璃制品、特殊塑料工艺品等易碎物品，如客户确要发运，需自行做好保护措施减少货物破损的风险，我司不承担货物转运破损的相关赔付,
,,为减少在操作转运环节运输导致货物变形/破损，客户可将包装内部周围加垫防震材料，每件易碎品单独使用泡沫或汽泡纸等防震材料进行包装，易碎品可贴易碎标签，且用纸盒包装，包装要求如下,
,,,
,,,
,序号,包装要求,                                             描述
,1,使用气泡垫填充保护,使用气泡袋、塑料袋等填充物，包裹货物并在6面做好填充保护，贴上缓冲垫，以确保其不会在内部滑动。
,2,纸箱包装,确保外包装使用适合运输的坚固箱子，请勿在包装中留有空隙。商品与外包装/展示箱的距离必须短于 10 厘米
,3,内件单独包装保护,在内含多件商品的包裹，所有商品必须单独包装，以防容器内其他商品碰撞导致出现残损，对于由多个部件组成的商品，使用隔层或纸板来分隔容器内的各个部件
,4,轻重大小件分离,勿将小物品与较大、较重的物品放在同一盒子中。可适当使用瓦楞纸纤维板隔板做分隔
,5,空洞填充,使用适当的包装材料，填充易碎品周围的所有剩余空间，定制与货物规格尺寸匹配的空间固定放置货物，减少晃动碰撞
,6,包装边缘保护,当开始填充箱子中的空隙时，在物品和箱子壁之间留出至少两英寸的缓冲材料。任何部位不要超过箱子边缘
,7,胶带缠绕稳固,运输易碎物品时，使用优质的包装胶带。将胶带粘贴在包装盒的所有接缝上，确保盒子的底部牢固固定。
,8,粘贴提示标签,可以贴上易碎标签和This Side Up的标记标签，用以提示各个环节操作人员尽可能小心操作货物
,,,
,,,
,1&2.使用气泡垫填充保护，纸箱包装,,
,3.内件单独包装保护示例 ,,
,5.空洞填充，如陶瓷类,,
,6.保护边缘，相框，工艺品等     ,,
,8.粘贴提示标签,,
